variable,paper_id,conflict_class,priority,agent_A,agent_B,agent_C,agent_D,proposed_consensus,decision_type(多数/僵持/专家),rationale_rule_ids(如:R1|R3),decided_by,decided_at,evidence_anchor_ids(如:E2|E5),comments
MethodFamily,1,多派分歧,3,199,102,102,102,102.0,多数,R_MF_01,PI,2025-10-06T13:25:54Z,,
MethodFamily,2,多派分歧,3,199,102,102,102,102.0,多数,R_MF_01,PI,2025-10-06T13:25:54Z,,
MethodFamily,3,多派分歧,3,199,103,102,102,102.0,多数,R_MF_01,PI,2025-10-06T13:25:54Z,,
MethodFamily,4,多派分歧,3,199,102,102,102,102.0,多数,R_MF_01,PI,2025-10-06T13:25:54Z,,
MethodFamily,5,多派分歧,3,199,103,199,199,199.0,多数,R_MF_01,PI,2025-10-06T13:25:54Z,,
MethodFamily,7,多派分歧,3,199,101,107,199,199.0,多数,R_MF_01,PI,2025-10-06T13:25:54Z,,
MethodFamily,8,多派分歧,3,107,105,107,107,107.0,多数,R_MF_01,PI,2025-10-06T13:25:54Z,,
MethodFamily,9,多派分歧,3,199,101,107,199,199.0,多数,R_MF_01,PI,2025-10-06T13:25:54Z,,
MethodFamily,10,多派分歧,3,199,102,102,102,102.0,多数,R_MF_01,PI,2025-10-06T13:25:54Z,,
MethodFamily,11,多派分歧,3,199,101,102,102,102.0,多数,R_MF_01,PI,2025-10-06T13:25:54Z,,
MethodFamily,12,多派分歧,3,199,102,102,102,102.0,多数,R_MF_01,PI,2025-10-06T13:25:54Z,,
MethodFamily,13,多派分歧,3,199,101,199,105,199.0,多数,R_MF_01,PI,2025-10-06T13:25:54Z,,
MethodFamily,14,多派分歧,3,102,102,199,106,102.0,多数,R_MF_01,PI,2025-10-06T13:25:54Z,,
MethodFamily,15,多派分歧,3,102,102,107,102,102.0,多数,R_MF_01,PI,2025-10-06T13:25:54Z,,
MethodFamily,16,多派分歧,3,102,105,107,199,,僵持,R_MF_01,PI,2025-10-06T13:25:54Z,,
MethodFamily,17,多派分歧,3,102,102,107,105,102.0,多数,R_MF_01,PI,2025-10-06T13:25:54Z,,
MethodFamily,18,多派分歧,3,199,102,106,102,102.0,多数,R_MF_01,PI,2025-10-06T13:25:54Z,,
MethodFamily,19,多派分歧,3,199,101,106,105,,僵持,R_MF_01,PI,2025-10-06T13:25:54Z,,
MethodFamily,20,多派分歧,3,102,101,105,105,105.0,多数,R_MF_01,PI,2025-10-06T13:25:54Z,,
MethodFamily,21,多派分歧,3,102,102,102,105,102.0,多数,R_MF_01,PI,2025-10-06T13:25:54Z,,
MethodFamily,22,多派分歧,3,102,102,102,105,102.0,多数,R_MF_01,PI,2025-10-06T13:25:54Z,,
MethodFamily,26,多派分歧,3,102,101,102,199,102.0,多数,R_MF_01,PI,2025-10-06T13:25:54Z,,
MethodFamily,28,多派分歧,3,102,102,102,199,102.0,多数,R_MF_01,PI,2025-10-06T13:25:54Z,,
MethodFamily,30,多派分歧,3,102,102,102,105,102.0,多数,R_MF_01,PI,2025-10-06T13:25:54Z,,
MethodFamily,31,多派分歧,3,102,102,102,105,102.0,多数,R_MF_01,PI,2025-10-06T13:25:54Z,,
MethodFamily,32,多派分歧,3,102,102,102,199,102.0,多数,R_MF_01,PI,2025-10-06T13:25:54Z,,
MethodFamily,33,多派分歧,3,101,102,102,102,102.0,多数,R_MF_01,PI,2025-10-06T13:25:54Z,,
MethodFamily,34,多派分歧,3,199,102,102,102,102.0,多数,R_MF_01,PI,2025-10-06T13:25:54Z,,
MethodFamily,36,多派分歧,3,102,101,102,102,102.0,多数,R_MF_01,PI,2025-10-06T13:25:54Z,,
MethodFamily,37,多派分歧,3,102,102,102,199,102.0,多数,R_MF_01,PI,2025-10-06T13:25:54Z,,
MethodFamily,38,多派分歧,3,102,102,102,199,102.0,多数,R_MF_01,PI,2025-10-06T13:25:54Z,,
MethodFamily,39,多派分歧,3,102,102,102,105,102.0,多数,R_MF_01,PI,2025-10-06T13:25:54Z,,
MethodFamily,40,多派分歧,3,102,102,102,107,102.0,多数,R_MF_01,PI,2025-10-06T13:25:54Z,,
MethodFamily,41,多派分歧,3,101,101,102,105,101.0,多数,R_MF_01,PI,2025-10-06T13:25:54Z,,
MethodFamily,42,多派分歧,3,102,101,102,105,102.0,多数,R_MF_01,PI,2025-10-06T13:25:54Z,,
MethodFamily,43,多派分歧,3,102,101,102,102,102.0,多数,R_MF_01,PI,2025-10-06T13:25:54Z,,
MethodFamily,45,多派分歧,3,101,102,102,199,102.0,多数,R_MF_01,PI,2025-10-06T13:25:54Z,,
MethodFamily,48,多派分歧,3,102,102,102,107,102.0,多数,R_MF_01,PI,2025-10-06T13:25:54Z,,
MethodFamily,49,多派分歧,3,102,101,102,102,102.0,多数,R_MF_01,PI,2025-10-06T13:25:54Z,,
MethodFamily,50,多派分歧,3,102,102,102,105,102.0,多数,R_MF_01,PI,2025-10-06T13:25:54Z,,
MethodFamily,51,多派分歧,3,199,101,102,105,,僵持,R_MF_01,PI,2025-10-06T13:25:54Z,,
MethodFamily,52,多派分歧,3,199,102,102,105,102.0,多数,R_MF_01,PI,2025-10-06T13:25:54Z,,
MethodFamily,53,多派分歧,3,199,101,102,105,,僵持,R_MF_01,PI,2025-10-06T13:25:54Z,,
MethodFamily,54,多派分歧,3,199,101,102,102,102.0,多数,R_MF_01,PI,2025-10-06T13:25:54Z,,
MethodFamily,55,多派分歧,3,199,101,102,105,,僵持,R_MF_01,PI,2025-10-06T13:25:54Z,,
MethodFamily,56,多派分歧,3,199,101,102,102,102.0,多数,R_MF_01,PI,2025-10-06T13:25:54Z,,
MethodFamily,57,多派分歧,3,199,102,102,102,102.0,多数,R_MF_01,PI,2025-10-06T13:25:54Z,,
MethodFamily,58,多派分歧,3,199,102,102,107,102.0,多数,R_MF_01,PI,2025-10-06T13:25:54Z,,
MethodFamily,59,多派分歧,3,102,102,102,107,102.0,多数,R_MF_01,PI,2025-10-06T13:25:54Z,,
MethodFamily,60,多派分歧,3,102,102,102,199,102.0,多数,R_MF_01,PI,2025-10-06T13:25:54Z,,
MethodFamily,61,多派分歧,3,199,101,102,105,,僵持,R_MF_01,PI,2025-10-06T13:25:54Z,,
MethodFamily,62,多派分歧,3,102,102,199,102,102.0,多数,R_MF_01,PI,2025-10-06T13:25:54Z,,
MethodFamily,63,多派分歧,3,102,101,199,199,199.0,多数,R_MF_01,PI,2025-10-06T13:25:54Z,,
MethodFamily,64,多派分歧,3,199,102,199,105,199.0,多数,R_MF_01,PI,2025-10-06T13:25:54Z,,
MethodFamily,65,多派分歧,3,102,102,199,107,102.0,多数,R_MF_01,PI,2025-10-06T13:25:54Z,,
MethodFamily,66,多派分歧,3,101,102,199,105,,僵持,R_MF_01,PI,2025-10-06T13:25:54Z,,
MethodFamily,67,多派分歧,3,101,101,199,102,101.0,多数,R_MF_01,PI,2025-10-06T13:25:54Z,,
MethodFamily,68,多派分歧,3,102,102,107,102,102.0,多数,R_MF_01,PI,2025-10-06T13:25:54Z,,
MethodFamily,69,多派分歧,3,102,102,107,105,102.0,多数,R_MF_01,PI,2025-10-06T13:25:54Z,,
MethodFamily,70,多派分歧,3,102,101,107,105,,僵持,R_MF_01,PI,2025-10-06T13:25:54Z,,
MethodFamily,71,多派分歧,3,102,101,107,105,,僵持,R_MF_01,PI,2025-10-06T13:25:54Z,,
MethodFamily,72,多派分歧,3,107,101,107,102,107.0,多数,R_MF_01,PI,2025-10-06T13:25:54Z,,
MethodFamily,73,多派分歧,3,107,101,107,105,107.0,多数,R_MF_01,PI,2025-10-06T13:25:54Z,,
MethodFamily,74,多派分歧,3,107,101,107,105,107.0,多数,R_MF_01,PI,2025-10-06T13:25:54Z,,
MethodFamily,75,多派分歧,3,107,102,107,199,107.0,多数,R_MF_01,PI,2025-10-06T13:25:54Z,,
MethodFamily,76,多派分歧,3,107,101,107,105,107.0,多数,R_MF_01,PI,2025-10-06T13:25:54Z,,
MethodFamily,77,多派分歧,3,107,102,107,105,107.0,多数,R_MF_01,PI,2025-10-06T13:25:54Z,,
MethodFamily,78,多派分歧,3,102,102,107,103,102.0,多数,R_MF_01,PI,2025-10-06T13:25:54Z,,
MethodFamily,79,多派分歧,3,103,101,103,105,103.0,多数,R_MF_01,PI,2025-10-06T13:25:54Z,,
MethodFamily,80,多派分歧,3,102,102,102,199,102.0,多数,R_MF_01,PI,2025-10-06T13:25:54Z,,
