paper_id	variable	weight	unique_count	codes_set	A_code	B_code	C_code	D_code	rules_all	evidence_stub	proposed_rule_id	decision	minority_opinion	notes	auto_decision	auto_reason
16	MethodFamily_codes	1.0	4	102|105|107|199	102	105	107	199	902|906|907|909							PENDING(tie or split 2-2)
19	MethodFamily_codes	1.0	4	101|105|106|199	199	101	106	105	902|904|905|907							PENDING(tie or split 2-2)
51	MethodFamily_codes	1.0	4	101|102|105|199	199	101	102	105	902|905|906|907							PENDING(tie or split 2-2)
53	MethodFamily_codes	1.0	4	101|102|105|199	199	101	102	105	902|905|906|907							PENDING(tie or split 2-2)
55	MethodFamily_codes	1.0	4	101|102|105|199	199	101	102	105	902|905|906|907							PENDING(tie or split 2-2)
13	MethodFamily_codes	1.0	3	101|105|199	199	101	199	105	902|905|907							PENDING(tie or split 2-2)
14	MethodFamily_codes	1.0	3	102|106|199	102	102	199	106	902|904|906							PENDING(tie or split 2-2)
18	MethodFamily_codes	1.0	3	102|106|199	199	102	106	102	902|904|906							PENDING(tie or split 2-2)
26	MethodFamily_codes	1.0	3	101|102|199	102	101	102	199	902|905|906							PENDING(tie or split 2-2)
45	MethodFamily_codes	1.0	3	101|102|199	101	102	102	199	902|905|906							PENDING(tie or split 2-2)
52	MethodFamily_codes	1.0	3	102|105|199	199	102	102	105	902|906|907							PENDING(tie or split 2-2)
54	MethodFamily_codes	1.0	3	101|102|199	199	101	102	102	902|905|906							PENDING(tie or split 2-2)
56	MethodFamily_codes	1.0	3	101|102|199	199	101	102	102	902|905|906							PENDING(tie or split 2-2)
58	MethodFamily_codes	1.0	3	102|107|199	199	102	102	107	902|906|909							PENDING(tie or split 2-2)
63	MethodFamily_codes	1.0	3	101|102|199	102	101	199	199	902|905|906							PENDING(tie or split 2-2)
64	MethodFamily_codes	1.0	3	102|105|199	199	102	199	105	902|906|907							PENDING(tie or split 2-2)
65	MethodFamily_codes	1.0	3	102|107|199	102	102	199	107	902|906|909							PENDING(tie or split 2-2)
28	MethodFamily_codes	1.0	2	102|199	102	102	102	199	902|906		909				102	AUTO(majority 3/4)
32	MethodFamily_codes	1.0	2	102|199	102	102	102	199	902|906		909				102	AUTO(majority 3/4)
34	MethodFamily_codes	1.0	2	102|199	199	102	102	102	902|906		909				102	AUTO(majority 3/4)
37	MethodFamily_codes	1.0	2	102|199	102	102	102	199	902|906		909				102	AUTO(majority 3/4)
38	MethodFamily_codes	1.0	2	102|199	102	102	102	199	902|906		909				102	AUTO(majority 3/4)
57	MethodFamily_codes	1.0	2	102|199	199	102	102	102	902|906		909				102	AUTO(majority 3/4)
60	MethodFamily_codes	1.0	2	102|199	102	102	102	199	902|906		909				102	AUTO(majority 3/4)
62	MethodFamily_codes	1.0	2	102|199	102	102	199	102	902|906		909				102	AUTO(majority 3/4)
26	MethodTransparency_codes	0.9	3	1|2|3	3	1	2	1	902|905|906							PENDING(tie or split 2-2)
28	MethodTransparency_codes	0.9	3	1|2|3	3	1	2	1	902|906							PENDING(tie or split 2-2)
32	MethodTransparency_codes	0.9	3	1|2|3	3	1	2	1	902|906							PENDING(tie or split 2-2)
37	MethodTransparency_codes	0.9	3	1|2|3	3	1	2	1	902|906							PENDING(tie or split 2-2)
38	MethodTransparency_codes	0.9	3	1|2|3	3	1	2	1	902|906							PENDING(tie or split 2-2)
45	MethodTransparency_codes	0.9	3	1|2|3	3	1	2	1	902|905|906							PENDING(tie or split 2-2)
