variable,paper_id,agent_A,agent_B,agent_C,agent_D,conflict_class,priority,proposed_consensus,decision_type(多数/僵持/专家),rationale_rule_ids(如:R1|R3),evidence_anchor_ids(如:E2|E5),comments,decided_by,decided_at
MethodFamily,1,199,102,102,102,多派分歧,3,102.0,多数,R_MF_01,,R_MF_01：按程序锚点识别具体方法门类。,PI,2025-10-06T12:41:30.702565
MethodFamily,2,199,102,102,102,多派分歧,3,102.0,多数,R_MF_01,,R_MF_01：按程序锚点识别具体方法门类。,PI,2025-10-06T12:45:23.952400
MethodFamily,3,199,103,102,102,多派分歧,3,102.0,多数,R_MF_01,,R_MF_01：按程序锚点识别具体方法门类。,PI,2025-10-06T12:45:23.954341
MethodFamily,4,199,102,102,102,多派分歧,3,102.0,多数,R_MF_01,,R_MF_01：按程序锚点识别具体方法门类。,PI,2025-10-06T12:45:23.956010
MethodFamily,5,199,103,199,199,多派分歧,3,199.0,多数,R_MF_01,,R_MF_01：按程序锚点识别具体方法门类。,PI,2025-10-06T12:45:23.957637
MethodFamily,7,199,101,107,199,多派分歧,3,199.0,多数,R_MF_01,,R_MF_01：按程序锚点识别具体方法门类。,PI,2025-10-06T12:45:23.959289
MethodFamily,8,107,105,107,107,多派分歧,3,107.0,多数,R_MF_01,,R_MF_01：按程序锚点识别具体方法门类。,PI,2025-10-06T12:45:23.960850
MethodFamily,9,199,101,107,199,多派分歧,3,199.0,多数,R_MF_01,,R_MF_01：按程序锚点识别具体方法门类。,PI,2025-10-06T12:45:23.962892
MethodFamily,10,199,102,102,102,多派分歧,3,102.0,多数,R_MF_01,,R_MF_01：按程序锚点识别具体方法门类。,PI,2025-10-06T12:45:23.964342
MethodFamily,11,199,101,102,102,多派分歧,3,102.0,多数,R_MF_01,,R_MF_01：按程序锚点识别具体方法门类。,PI,2025-10-06T12:45:23.965959
MethodFamily,12,199,102,102,102,多派分歧,3,102.0,多数,R_MF_01,,R_MF_01：按程序锚点识别具体方法门类。,PI,2025-10-06T12:45:23.967514
MethodFamily,13,199,101,199,105,多派分歧,3,199.0,多数,R_MF_01,,R_MF_01：按程序锚点识别具体方法门类。,PI,2025-10-06T12:45:23.969149
MethodFamily,14,102,102,199,106,多派分歧,3,102.0,多数,R_MF_01,,R_MF_01：按程序锚点识别具体方法门类。,PI,2025-10-06T12:45:23.970978
MethodFamily,15,102,102,107,102,多派分歧,3,102.0,多数,R_MF_01,,R_MF_01：按程序锚点识别具体方法门类。,PI,2025-10-06T12:45:23.972620
MethodFamily,16,102,105,107,199,多派分歧,3,199.0,多数,R_MF_02,,R_MF_02：不足两项阈值，名词性比较占主，暂留199（规范/思辨—不充分）。,PI,2025-10-07T07:37:59.392470
MethodFamily,17,102,102,107,105,多派分歧,3,102.0,多数,R_MF_01,,R_MF_01：按程序锚点识别具体方法门类。,PI,2025-10-06T12:45:23.975844
MethodFamily,18,199,102,106,102,多派分歧,3,102.0,多数,R_MF_01,,R_MF_01：按程序锚点识别具体方法门类。,PI,2025-10-06T12:45:23.977511
MethodFamily,19,199,101,106,105,多派分歧,3,199.0,多数,R_MF_02,,R_MF_02：不足两项阈值，名词性比较占主，暂留199（规范/思辨—不充分）。,PI,2025-10-07T07:37:59.392470
MethodFamily,20,102,101,105,105,多派分歧,3,105.0,多数,R_MF_01,,R_MF_01：按程序锚点识别具体方法门类。,PI,2025-10-06T12:45:23.980874
MethodFamily,21,102,102,102,105,多派分歧,3,102.0,多数,R_MF_01,,R_MF_01：按程序锚点识别具体方法门类。,PI,2025-10-06T12:45:23.982893
MethodFamily,22,102,102,102,105,多派分歧,3,102.0,多数,R_MF_01,,R_MF_01：按程序锚点识别具体方法门类。,PI,2025-10-06T12:45:23.984499
MethodFamily,26,102,101,102,199,多派分歧,3,102.0,多数,R_MF_01,,R_MF_01：按程序锚点识别具体方法门类。,PI,2025-10-06T12:45:23.986244
MethodFamily,28,102,102,102,199,多派分歧,3,102.0,多数,R_MF_01,,R_MF_01：按程序锚点识别具体方法门类。,PI,2025-10-06T12:45:23.987904
MethodFamily,30,102,102,102,105,多派分歧,3,102.0,多数,R_MF_01,,R_MF_01：按程序锚点识别具体方法门类。,PI,2025-10-06T12:45:23.989541
MethodFamily,31,102,102,102,105,多派分歧,3,102.0,多数,R_MF_01,,R_MF_01：按程序锚点识别具体方法门类。,PI,2025-10-06T12:45:23.991086
MethodFamily,32,102,102,102,199,多派分歧,3,102.0,多数,R_MF_01,,R_MF_01：按程序锚点识别具体方法门类。,PI,2025-10-06T12:45:23.992717
MethodFamily,33,101,102,102,102,多派分歧,3,102.0,多数,R_MF_01,,R_MF_01：按程序锚点识别具体方法门类。,PI,2025-10-06T12:45:23.994842
