variable,paper_id,agent_A,agent_B,agent_C,agent_D,proposed_consensus,decision_type(多数/僵持/专家),rationale_rule_ids(如:R1|R3),r2_checklist,r2_priority,r2_order
MethodFamily,16,102,105,107,199,,僵持,R_MF_01,MF阈值清单: 预设比较维度≥1 | 对照/样本边界清楚 | 材料可相互印证≥1；不足→199,2,1
MethodFamily,19,199,101,106,105,,僵持,R_MF_01,MF阈值清单: 预设比较维度≥1 | 对照/样本边界清楚 | 材料可相互印证≥1；不足→199,2,2
MethodFamily,51,199,101,102,105,,僵持,R_MF_01,MF阈值清单: 预设比较维度≥1 | 对照/样本边界清楚 | 材料可相互印证≥1；不足→199,2,3
MethodFamily,53,199,101,102,105,,僵持,R_MF_01,MF阈值清单: 预设比较维度≥1 | 对照/样本边界清楚 | 材料可相互印证≥1；不足→199,2,4
MethodFamily,55,199,101,102,105,,僵持,R_MF_01,MF阈值清单: 预设比较维度≥1 | 对照/样本边界清楚 | 材料可相互印证≥1；不足→199,2,5
MethodFamily,61,199,101,102,105,,僵持,R_MF_01,MF阈值清单: 预设比较维度≥1 | 对照/样本边界清楚 | 材料可相互印证≥1；不足→199,2,6
MethodFamily,66,101,102,199,105,,僵持,R_MF_01,MF阈值清单: 预设比较维度≥1 | 对照/样本边界清楚 | 材料可相互印证≥1；不足→199,2,7
MethodFamily,70,102,101,107,105,,僵持,R_MF_01,MF阈值清单: 预设比较维度≥1 | 对照/样本边界清楚 | 材料可相互印证≥1；不足→199,2,8
MethodFamily,71,102,101,107,105,,僵持,R_MF_01,MF阈值清单: 预设比较维度≥1 | 对照/样本边界清楚 | 材料可相互印证≥1；不足→199,2,9
coder_notes_rule_code,16,906,907,909,902,,僵持,,注记规则触发: 缺失补偿? 上下位概念比照? 示例优先级? 一致性回填?,2,10
coder_notes_rule_code,19,902,905,904,907,,僵持,,注记规则触发: 缺失补偿? 上下位概念比照? 示例优先级? 一致性回填?,2,11
coder_notes_rule_code,51,902,905,906,907,,僵持,,注记规则触发: 缺失补偿? 上下位概念比照? 示例优先级? 一致性回填?,2,12
coder_notes_rule_code,53,902,905,906,907,,僵持,,注记规则触发: 缺失补偿? 上下位概念比照? 示例优先级? 一致性回填?,2,13
coder_notes_rule_code,55,902,905,906,907,,僵持,,注记规则触发: 缺失补偿? 上下位概念比照? 示例优先级? 一致性回填?,2,14
coder_notes_rule_code,61,902,905,906,907,,僵持,,注记规则触发: 缺失补偿? 上下位概念比照? 示例优先级? 一致性回填?,2,15
coder_notes_rule_code,66,905,906,902,907,,僵持,,注记规则触发: 缺失补偿? 上下位概念比照? 示例优先级? 一致性回填?,2,16
coder_notes_rule_code,70,906,905,909,907,,僵持,,注记规则触发: 缺失补偿? 上下位概念比照? 示例优先级? 一致性回填?,2,17
coder_notes_rule_code,71,906,905,909,907,,僵持,,注记规则触发: 缺失补偿? 上下位概念比照? 示例优先级? 一致性回填?,2,18
